"Date & Time","use [kW]","gen [kW]","Register 1 [kW]","Register 2 [kW]","Register 3 [kW]","Register 4 [kW]","Register 5 [kW]","Register 6 [kW]","Register 7 [kW]","Register 8 [kW]","Register 9 [kW]","Register 10 [kW]","Register 11 [kW]","Register 12 [kW]","Solar [kW]"
2026-02-05 23:45:00,353.715782222,-0.391924444,33.543065556,25.366290000,34.752177778,40.471835556,15.345301111,32.126213333,34.251336667,16.308040000,24.333562222,35.716065556,30.898092222,30.603802222,-0.391924444
2026-02-05 23:30:00,354.091108889,-0.396241111,33.761554444,24.201246667,34.580837778,38.980202222,14.894887778,31.533295556,35.237291111,17.585413333,24.781690000,36.262765556,30.687450000,31.584474444,-0.396241111
2026-02-05 23:15:00,362.651680000,-0.400294444,34.493552222,24.393288889,35.341252222,40.157131111,15.881280000,31.860281111,36.396605556,18.826313333,25.809022222,36.130571111,31.548242222,31.814140000,-0.400294444
2026-02-05 23:00:00,373.675788889,-0.397486667,35.110985556,25.812905556,36.851147778,42.606664444,18.904032222,33.149947778,36.342083333,19.049204444,26.701856667,36.289595556,31.536030000,31.321335556,-0.397486667
2026-02-05 22:45:00,378.496417778,-0.389345556,32.965064444,24.432492222,34.945680000,47.831570000,23.581671111,32.388260000,38.898563333,19.712476667,26.357131111,35.468695556,31.271164444,30.643648889,-0.389345556
2026-02-05 22:30:00,389.017184444,-0.388891111,34.337444444,25.158476667,36.831974444,48.013617778,23.654980000,33.197967778,40.259014444,19.967755556,25.923285556,36.838227778,32.920414444,31.914025556,-0.388891111
2026-02-05 22:15:00,385.457250000,-0.392027778,33.737110000,24.907412222,36.628367778,46.545770000,23.347816667,32.909262222,40.773743333,20.619340000,25.815666667,35.987801111,32.585114444,31.599845556,-0.392027778
2026-02-05 22:00:00,393.397100000,-0.396577778,34.444451111,25.107590000,35.565082222,45.426847778,22.649228889,33.202345556,41.086827778,20.896090000,25.733792222,39.089741111,35.339546667,34.855556667,-0.396577778
2026-02-05 21:45:00,382.463116667,-0.405974444,34.123011111,25.061580000,35.465732222,45.684787778,22.716464444,33.784150000,40.834446667,20.408614444,26.104000000,35.853375556,31.490254444,30.936700000,-0.405974444
2026-02-05 21:30:00,393.180428889,-0.403775556,33.178018889,25.480328889,34.934484444,46.820110000,23.266374444,33.828721111,41.791177778,21.264492222,27.409688889,37.136651111,34.787766667,33.282614444,-0.403775556
2026-02-05 21:15:00,391.489965556,-0.411031111,33.109773333,24.508927778,34.756431111,47.366210000,23.422651111,33.862487778,40.060251111,20.094604444,26.011374444,39.042357778,35.307887778,33.947008889,-0.411031111
2026-02-05 21:00:00,386.085394444,-0.409523333,35.500455556,26.289496667,36.095688889,45.810626667,21.675364444,33.314561111,40.576950000,20.097736667,25.520055556,36.642183333,32.692981111,31.869294444,-0.409523333
